REGION,FUEL,YEAR,VALUE
REGION1,Denmark (DK)| Electricity 2 (E2),2015,114.43
REGION1,Denmark (DK)| Electricity 2 (E2),2016,113.9
REGION1,Denmark (DK)| Electricity 2 (E2),2017,113.38
REGION1,Denmark (DK)| Electricity 2 (E2),2018,112.86
REGION1,Denmark (DK)| Electricity 2 (E2),2019,112.34
REGION1,Denmark (DK)| Electricity 2 (E2),2020,111.83
REGION1,Denmark (DK)| Electricity 2 (E2),2021,114.45
REGION1,Denmark (DK)| Electricity 2 (E2),2022,117.09
REGION1,Denmark (DK)| Electricity 2 (E2),2023,119.74
REGION1,Denmark (DK)| Electricity 2 (E2),2024,122.4
REGION1,Denmark (DK)| Electricity 2 (E2),2025,125.08
REGION1,Denmark (DK)| Electricity 2 (E2),2026,127.29
REGION1,Denmark (DK)| Electricity 2 (E2),2027,129.5
REGION1,Denmark (DK)| Electricity 2 (E2),2028,131.71
REGION1,Denmark (DK)| Electricity 2 (E2),2029,133.93
REGION1,Denmark (DK)| Electricity 2 (E2),2030,136.15
REGION1,Denmark (DK)| Electricity 2 (E2),2031,141.61
REGION1,Denmark (DK)| Electricity 2 (E2),2032,147.1
REGION1,Denmark (DK)| Electricity 2 (E2),2033,152.63
REGION1,Denmark (DK)| Electricity 2 (E2),2034,158.19
REGION1,Denmark (DK)| Electricity 2 (E2),2035,163.79
REGION1,Denmark (DK)| Electricity 2 (E2),2036,169.18
REGION1,Denmark (DK)| Electricity 2 (E2),2037,174.59
REGION1,Denmark (DK)| Electricity 2 (E2),2038,180.02
REGION1,Denmark (DK)| Electricity 2 (E2),2039,185.48
REGION1,Denmark (DK)| Electricity 2 (E2),2040,190.95
REGION1,Denmark (DK)| Electricity 2 (E2),2041,195.55
REGION1,Denmark (DK)| Electricity 2 (E2),2042,200.16
REGION1,Denmark (DK)| Electricity 2 (E2),2043,204.8
REGION1,Denmark (DK)| Electricity 2 (E2),2044,209.46
REGION1,Denmark (DK)| Electricity 2 (E2),2045,214.13
REGION1,Denmark (DK)| Electricity 2 (E2),2046,218.81
REGION1,Denmark (DK)| Electricity 2 (E2),2047,223.5
REGION1,Denmark (DK)| Electricity 2 (E2),2048,228.21
REGION1,Denmark (DK)| Electricity 2 (E2),2049,232.93
REGION1,Denmark (DK)| Electricity 2 (E2),2050,237.68
REGION1,Denmark (DK)| Electricity 2 (E2),2051,238.75
REGION1,Denmark (DK)| Electricity 2 (E2),2052,239.82
REGION1,Denmark (DK)| Electricity 2 (E2),2053,240.9
REGION1,Denmark (DK)| Electricity 2 (E2),2054,241.99
REGION1,Denmark (DK)| Electricity 2 (E2),2055,243.07
REGION1,Denmark (DK)| Electricity 2 (E2),2056,244.25
REGION1,Denmark (DK)| Electricity 2 (E2),2057,245.42
REGION1,Denmark (DK)| Electricity 2 (E2),2058,246.61
REGION1,Denmark (DK)| Electricity 2 (E2),2059,247.79
REGION1,Denmark (DK)| Electricity 2 (E2),2060,248.99
REGION1,Finland (FI)| Electricity 2 (E2),2015,284.2
REGION1,Finland (FI)| Electricity 2 (E2),2016,281.63
REGION1,Finland (FI)| Electricity 2 (E2),2017,279.1
REGION1,Finland (FI)| Electricity 2 (E2),2018,276.61
REGION1,Finland (FI)| Electricity 2 (E2),2019,274.15
REGION1,Finland (FI)| Electricity 2 (E2),2020,271.73
REGION1,Finland (FI)| Electricity 2 (E2),2021,277.08
REGION1,Finland (FI)| Electricity 2 (E2),2022,282.44
REGION1,Finland (FI)| Electricity 2 (E2),2023,287.82
REGION1,Finland (FI)| Electricity 2 (E2),2024,293.2
REGION1,Finland (FI)| Electricity 2 (E2),2025,298.6
REGION1,Finland (FI)| Electricity 2 (E2),2026,302.87
REGION1,Finland (FI)| Electricity 2 (E2),2027,307.12
REGION1,Finland (FI)| Electricity 2 (E2),2028,311.37
REGION1,Finland (FI)| Electricity 2 (E2),2029,315.6
REGION1,Finland (FI)| Electricity 2 (E2),2030,319.81
REGION1,Finland (FI)| Electricity 2 (E2),2031,330.7
REGION1,Finland (FI)| Electricity 2 (E2),2032,341.58
REGION1,Finland (FI)| Electricity 2 (E2),2033,352.43
REGION1,Finland (FI)| Electricity 2 (E2),2034,363.26
REGION1,Finland (FI)| Electricity 2 (E2),2035,374.07
REGION1,Finland (FI)| Electricity 2 (E2),2036,384.63
REGION1,Finland (FI)| Electricity 2 (E2),2037,395.15
REGION1,Finland (FI)| Electricity 2 (E2),2038,405.65
REGION1,Finland (FI)| Electricity 2 (E2),2039,416.13
REGION1,Finland (FI)| Electricity 2 (E2),2040,426.57
REGION1,Finland (FI)| Electricity 2 (E2),2041,435.16
REGION1,Finland (FI)| Electricity 2 (E2),2042,443.76
REGION1,Finland (FI)| Electricity 2 (E2),2043,452.36
REGION1,Finland (FI)| Electricity 2 (E2),2044,460.96
REGION1,Finland (FI)| Electricity 2 (E2),2045,469.57
REGION1,Finland (FI)| Electricity 2 (E2),2046,478.19
REGION1,Finland (FI)| Electricity 2 (E2),2047,486.8
REGION1,Finland (FI)| Electricity 2 (E2),2048,495.43
REGION1,Finland (FI)| Electricity 2 (E2),2049,504.06
REGION1,Finland (FI)| Electricity 2 (E2),2050,512.69
REGION1,Finland (FI)| Electricity 2 (E2),2051,513.47
REGION1,Finland (FI)| Electricity 2 (E2),2052,514.25
REGION1,Finland (FI)| Electricity 2 (E2),2053,515.03
REGION1,Finland (FI)| Electricity 2 (E2),2054,515.81
REGION1,Finland (FI)| Electricity 2 (E2),2055,516.59
REGION1,Finland (FI)| Electricity 2 (E2),2056,517.54
REGION1,Finland (FI)| Electricity 2 (E2),2057,518.49
REGION1,Finland (FI)| Electricity 2 (E2),2058,519.44
REGION1,Finland (FI)| Electricity 2 (E2),2059,520.39
REGION1,Finland (FI)| Electricity 2 (E2),2060,521.34
REGION1,Norway (NO)| Electricity 2 (E2),2015,433.8
REGION1,Norway (NO)| Electricity 2 (E2),2016,434.41
REGION1,Norway (NO)| Electricity 2 (E2),2017,434.98
REGION1,Norway (NO)| Electricity 2 (E2),2018,435.52
REGION1,Norway (NO)| Electricity 2 (E2),2019,436.01
REGION1,Norway (NO)| Electricity 2 (E2),2020,436.47
REGION1,Norway (NO)| Electricity 2 (E2),2021,442.08
REGION1,Norway (NO)| Electricity 2 (E2),2022,447.64
REGION1,Norway (NO)| Electricity 2 (E2),2023,453.14
REGION1,Norway (NO)| Electricity 2 (E2),2024,458.59
REGION1,Norway (NO)| Electricity 2 (E2),2025,463.98
REGION1,Norway (NO)| Electricity 2 (E2),2026,468.85
REGION1,Norway (NO)| Electricity 2 (E2),2027,473.67
REGION1,Norway (NO)| Electricity 2 (E2),2028,478.43
REGION1,Norway (NO)| Electricity 2 (E2),2029,483.14
REGION1,Norway (NO)| Electricity 2 (E2),2030,487.79
REGION1,Norway (NO)| Electricity 2 (E2),2031,502.77
REGION1,Norway (NO)| Electricity 2 (E2),2032,517.63
REGION1,Norway (NO)| Electricity 2 (E2),2033,532.37
REGION1,Norway (NO)| Electricity 2 (E2),2034,547.0
REGION1,Norway (NO)| Electricity 2 (E2),2035,561.51
REGION1,Norway (NO)| Electricity 2 (E2),2036,575.28
REGION1,Norway (NO)| Electricity 2 (E2),2037,588.92
REGION1,Norway (NO)| Electricity 2 (E2),2038,602.43
REGION1,Norway (NO)| Electricity 2 (E2),2039,615.82
REGION1,Norway (NO)| Electricity 2 (E2),2040,629.08
REGION1,Norway (NO)| Electricity 2 (E2),2041,637.87
REGION1,Norway (NO)| Electricity 2 (E2),2042,646.58
REGION1,Norway (NO)| Electricity 2 (E2),2043,655.22
REGION1,Norway (NO)| Electricity 2 (E2),2044,663.78
REGION1,Norway (NO)| Electricity 2 (E2),2045,672.26
REGION1,Norway (NO)| Electricity 2 (E2),2046,681.09
REGION1,Norway (NO)| Electricity 2 (E2),2047,689.85
REGION1,Norway (NO)| Electricity 2 (E2),2048,698.55
REGION1,Norway (NO)| Electricity 2 (E2),2049,707.19
REGION1,Norway (NO)| Electricity 2 (E2),2050,715.76
REGION1,Norway (NO)| Electricity 2 (E2),2051,713.29
REGION1,Norway (NO)| Electricity 2 (E2),2052,710.83
REGION1,Norway (NO)| Electricity 2 (E2),2053,708.37
REGION1,Norway (NO)| Electricity 2 (E2),2054,705.92
REGION1,Norway (NO)| Electricity 2 (E2),2055,703.48
REGION1,Norway (NO)| Electricity 2 (E2),2056,701.2
REGION1,Norway (NO)| Electricity 2 (E2),2057,698.93
REGION1,Norway (NO)| Electricity 2 (E2),2058,696.67
REGION1,Norway (NO)| Electricity 2 (E2),2059,694.41
REGION1,Norway (NO)| Electricity 2 (E2),2060,692.16
REGION1,Sweden (SE)| Electricity 2 (E2),2015,464.82
REGION1,Sweden (SE)| Electricity 2 (E2),2016,464.29
REGION1,Sweden (SE)| Electricity 2 (E2),2017,463.74
REGION1,Sweden (SE)| Electricity 2 (E2),2018,463.18
REGION1,Sweden (SE)| Electricity 2 (E2),2019,462.6
REGION1,Sweden (SE)| Electricity 2 (E2),2020,462.01
REGION1,Sweden (SE)| Electricity 2 (E2),2021,470.72
REGION1,Sweden (SE)| Electricity 2 (E2),2022,479.44
REGION1,Sweden (SE)| Electricity 2 (E2),2023,488.18
REGION1,Sweden (SE)| Electricity 2 (E2),2024,496.92
REGION1,Sweden (SE)| Electricity 2 (E2),2025,505.67
REGION1,Sweden (SE)| Electricity 2 (E2),2026,514.45
REGION1,Sweden (SE)| Electricity 2 (E2),2027,523.24
REGION1,Sweden (SE)| Electricity 2 (E2),2028,532.04
REGION1,Sweden (SE)| Electricity 2 (E2),2029,540.84
REGION1,Sweden (SE)| Electricity 2 (E2),2030,549.66
REGION1,Sweden (SE)| Electricity 2 (E2),2031,568.26
REGION1,Sweden (SE)| Electricity 2 (E2),2032,586.81
REGION1,Sweden (SE)| Electricity 2 (E2),2033,605.33
REGION1,Sweden (SE)| Electricity 2 (E2),2034,623.81
REGION1,Sweden (SE)| Electricity 2 (E2),2035,642.25
REGION1,Sweden (SE)| Electricity 2 (E2),2036,660.46
REGION1,Sweden (SE)| Electricity 2 (E2),2037,678.64
REGION1,Sweden (SE)| Electricity 2 (E2),2038,696.77
REGION1,Sweden (SE)| Electricity 2 (E2),2039,714.86
REGION1,Sweden (SE)| Electricity 2 (E2),2040,732.91
REGION1,Sweden (SE)| Electricity 2 (E2),2041,748.23
REGION1,Sweden (SE)| Electricity 2 (E2),2042,763.58
REGION1,Sweden (SE)| Electricity 2 (E2),2043,778.94
REGION1,Sweden (SE)| Electricity 2 (E2),2044,794.34
REGION1,Sweden (SE)| Electricity 2 (E2),2045,809.75
REGION1,Sweden (SE)| Electricity 2 (E2),2046,824.89
REGION1,Sweden (SE)| Electricity 2 (E2),2047,840.04
REGION1,Sweden (SE)| Electricity 2 (E2),2048,855.22
REGION1,Sweden (SE)| Electricity 2 (E2),2049,870.4
REGION1,Sweden (SE)| Electricity 2 (E2),2050,885.6
REGION1,Sweden (SE)| Electricity 2 (E2),2051,884.31
REGION1,Sweden (SE)| Electricity 2 (E2),2052,883.02
REGION1,Sweden (SE)| Electricity 2 (E2),2053,881.72
REGION1,Sweden (SE)| Electricity 2 (E2),2054,880.43
REGION1,Sweden (SE)| Electricity 2 (E2),2055,879.13
REGION1,Sweden (SE)| Electricity 2 (E2),2056,877.25
REGION1,Sweden (SE)| Electricity 2 (E2),2057,875.37
REGION1,Sweden (SE)| Electricity 2 (E2),2058,873.49
REGION1,Sweden (SE)| Electricity 2 (E2),2059,871.62
REGION1,Sweden (SE)| Electricity 2 (E2),2060,869.74
