REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,DKHGFCPN2,DKE1,2015,0.0
REGION1,DKHGFCPN2,DKE1,2016,0.0
REGION1,DKHGFCPN2,DKE1,2017,0.0
REGION1,DKHGFCPN2,DKE1,2018,0.0
REGION1,DKHGFCPN2,DKE1,2019,0.0
REGION1,DKHGFCPN2,DKE1,2020,0.0
REGION1,DKHGFCPN2,DKE1,2021,0.0
REGION1,DKHGFCPN2,DKE1,2022,0.0
REGION1,DKHGFCPN2,DKE1,2023,0.0
REGION1,DKHGFCPN2,DKE1,2024,0.0
REGION1,DKHGFCPN2,DKE1,2025,0.0
REGION1,DKHGFCPN2,DKE1,2026,0.0
REGION1,DKHGFCPN2,DKE1,2027,0.0
REGION1,DKHGFCPN2,DKE1,2028,0.0
REGION1,DKHGFCPN2,DKE1,2029,0.0
REGION1,DKHGFCPN2,DKE1,2030,0.0
REGION1,DKHGFCPN2,DKE1,2031,0.0
REGION1,DKHGFCPN2,DKE1,2032,0.0
REGION1,DKHGFCPN2,DKE1,2033,0.0
REGION1,DKHGFCPN2,DKE1,2034,0.0
REGION1,DKHGFCPN2,DKE1,2035,0.0
REGION1,DKHGFCPN2,DKE1,2036,0.0
REGION1,DKHGFCPN2,DKE1,2037,0.0
REGION1,DKHGFCPN2,DKE1,2038,0.0
REGION1,DKHGFCPN2,DKE1,2039,0.0
REGION1,DKHGFCPN2,DKE1,2040,0.0
REGION1,DKHGFCPN2,DKE1,2041,0.0
REGION1,DKHGFCPN2,DKE1,2042,0.0
REGION1,DKHGFCPN2,DKE1,2043,0.0
REGION1,DKHGFCPN2,DKE1,2044,0.0
REGION1,DKHGFCPN2,DKE1,2045,0.0
REGION1,DKHGFCPN2,DKE1,2046,0.0
REGION1,DKHGFCPN2,DKE1,2047,0.0
REGION1,DKHGFCPN2,DKE1,2048,0.0
REGION1,DKHGFCPN2,DKE1,2049,0.0
REGION1,DKHGFCPN2,DKE1,2050,0.0
REGION1,DKHGFCPN2,DKE1,2051,0.0
REGION1,DKHGFCPN2,DKE1,2052,0.0
REGION1,DKHGFCPN2,DKE1,2053,0.0
REGION1,DKHGFCPN2,DKE1,2054,0.0
REGION1,DKHGFCPN2,DKE1,2055,0.0
REGION1,DKHGFCPN2,DKE1,2056,0.0
REGION1,DKHGFCPN2,DKE1,2057,0.0
REGION1,DKHGFCPN2,DKE1,2058,0.0
REGION1,DKHGFCPN2,DKE1,2059,0.0
REGION1,DKHGFCPN2,DKE1,2060,0.0
REGION1,FIHGFCPN2,FIE1,2015,0.0
REGION1,FIHGFCPN2,FIE1,2016,0.0
REGION1,FIHGFCPN2,FIE1,2017,0.0
REGION1,FIHGFCPN2,FIE1,2018,0.0
REGION1,FIHGFCPN2,FIE1,2019,0.0
REGION1,FIHGFCPN2,FIE1,2020,0.0
REGION1,FIHGFCPN2,FIE1,2021,0.0
REGION1,FIHGFCPN2,FIE1,2022,0.0
REGION1,FIHGFCPN2,FIE1,2023,0.0
REGION1,FIHGFCPN2,FIE1,2024,0.0
REGION1,FIHGFCPN2,FIE1,2025,0.0
REGION1,FIHGFCPN2,FIE1,2026,0.0
REGION1,FIHGFCPN2,FIE1,2027,0.0
REGION1,FIHGFCPN2,FIE1,2028,0.0
REGION1,FIHGFCPN2,FIE1,2029,0.0
REGION1,FIHGFCPN2,FIE1,2030,0.0
REGION1,FIHGFCPN2,FIE1,2031,0.0
REGION1,FIHGFCPN2,FIE1,2032,0.0
REGION1,FIHGFCPN2,FIE1,2033,0.0
REGION1,FIHGFCPN2,FIE1,2034,0.0
REGION1,FIHGFCPN2,FIE1,2035,0.0
REGION1,FIHGFCPN2,FIE1,2036,0.0
REGION1,FIHGFCPN2,FIE1,2037,0.0
REGION1,FIHGFCPN2,FIE1,2038,0.0
REGION1,FIHGFCPN2,FIE1,2039,0.0
REGION1,FIHGFCPN2,FIE1,2040,0.0
REGION1,FIHGFCPN2,FIE1,2041,0.0
REGION1,FIHGFCPN2,FIE1,2042,0.0
REGION1,FIHGFCPN2,FIE1,2043,0.0
REGION1,FIHGFCPN2,FIE1,2044,0.0
REGION1,FIHGFCPN2,FIE1,2045,0.0
REGION1,FIHGFCPN2,FIE1,2046,0.0
REGION1,FIHGFCPN2,FIE1,2047,0.0
REGION1,FIHGFCPN2,FIE1,2048,0.0
REGION1,FIHGFCPN2,FIE1,2049,0.0
REGION1,FIHGFCPN2,FIE1,2050,0.0
REGION1,FIHGFCPN2,FIE1,2051,0.0
REGION1,FIHGFCPN2,FIE1,2052,0.0
REGION1,FIHGFCPN2,FIE1,2053,0.0
REGION1,FIHGFCPN2,FIE1,2054,0.0
REGION1,FIHGFCPN2,FIE1,2055,0.0
REGION1,FIHGFCPN2,FIE1,2056,0.0
REGION1,FIHGFCPN2,FIE1,2057,0.0
REGION1,FIHGFCPN2,FIE1,2058,0.0
REGION1,FIHGFCPN2,FIE1,2059,0.0
REGION1,FIHGFCPN2,FIE1,2060,0.0
REGION1,HGFCPN2,E1,2015,0.0
REGION1,HGFCPN2,E1,2016,0.0
REGION1,HGFCPN2,E1,2017,0.0
REGION1,HGFCPN2,E1,2018,0.0
REGION1,HGFCPN2,E1,2019,0.0
REGION1,HGFCPN2,E1,2020,0.0
REGION1,HGFCPN2,E1,2021,0.0
REGION1,HGFCPN2,E1,2022,0.0
REGION1,HGFCPN2,E1,2023,0.0
REGION1,HGFCPN2,E1,2024,0.0
REGION1,HGFCPN2,E1,2025,0.0
REGION1,HGFCPN2,E1,2026,0.0
REGION1,HGFCPN2,E1,2027,0.0
REGION1,HGFCPN2,E1,2028,0.0
REGION1,HGFCPN2,E1,2029,0.0
REGION1,HGFCPN2,E1,2030,0.0
REGION1,HGFCPN2,E1,2031,0.0
REGION1,HGFCPN2,E1,2032,0.0
REGION1,HGFCPN2,E1,2033,0.0
REGION1,HGFCPN2,E1,2034,0.0
REGION1,HGFCPN2,E1,2035,0.0
REGION1,HGFCPN2,E1,2036,0.0
REGION1,HGFCPN2,E1,2037,0.0
REGION1,HGFCPN2,E1,2038,0.0
REGION1,HGFCPN2,E1,2039,0.0
REGION1,HGFCPN2,E1,2040,0.0
REGION1,HGFCPN2,E1,2041,0.0
REGION1,HGFCPN2,E1,2042,0.0
REGION1,HGFCPN2,E1,2043,0.0
REGION1,HGFCPN2,E1,2044,0.0
REGION1,HGFCPN2,E1,2045,0.0
REGION1,HGFCPN2,E1,2046,0.0
REGION1,HGFCPN2,E1,2047,0.0
REGION1,HGFCPN2,E1,2048,0.0
REGION1,HGFCPN2,E1,2049,0.0
REGION1,HGFCPN2,E1,2050,0.0
REGION1,HGFCPN2,E1,2051,0.0
REGION1,HGFCPN2,E1,2052,0.0
REGION1,HGFCPN2,E1,2053,0.0
REGION1,HGFCPN2,E1,2054,0.0
REGION1,HGFCPN2,E1,2055,0.0
REGION1,HGFCPN2,E1,2056,0.0
REGION1,HGFCPN2,E1,2057,0.0
REGION1,HGFCPN2,E1,2058,0.0
REGION1,HGFCPN2,E1,2059,0.0
REGION1,HGFCPN2,E1,2060,0.0
REGION1,NOHGFCPN2,NOE1,2015,0.0
REGION1,NOHGFCPN2,NOE1,2016,0.0
REGION1,NOHGFCPN2,NOE1,2017,0.0
REGION1,NOHGFCPN2,NOE1,2018,0.0
REGION1,NOHGFCPN2,NOE1,2019,0.0
REGION1,NOHGFCPN2,NOE1,2020,0.0
REGION1,NOHGFCPN2,NOE1,2021,0.0
REGION1,NOHGFCPN2,NOE1,2022,0.0
REGION1,NOHGFCPN2,NOE1,2023,0.0
REGION1,NOHGFCPN2,NOE1,2024,0.0
REGION1,NOHGFCPN2,NOE1,2025,0.0
REGION1,NOHGFCPN2,NOE1,2026,0.0
REGION1,NOHGFCPN2,NOE1,2027,0.0
REGION1,NOHGFCPN2,NOE1,2028,0.0
REGION1,NOHGFCPN2,NOE1,2029,0.0
REGION1,NOHGFCPN2,NOE1,2030,0.0
REGION1,NOHGFCPN2,NOE1,2031,0.0
REGION1,NOHGFCPN2,NOE1,2032,0.0
REGION1,NOHGFCPN2,NOE1,2033,0.0
REGION1,NOHGFCPN2,NOE1,2034,0.0
REGION1,NOHGFCPN2,NOE1,2035,0.0
REGION1,NOHGFCPN2,NOE1,2036,0.0
REGION1,NOHGFCPN2,NOE1,2037,0.0
REGION1,NOHGFCPN2,NOE1,2038,0.0
REGION1,NOHGFCPN2,NOE1,2039,0.0
REGION1,NOHGFCPN2,NOE1,2040,0.0
REGION1,NOHGFCPN2,NOE1,2041,0.0
REGION1,NOHGFCPN2,NOE1,2042,0.0
REGION1,NOHGFCPN2,NOE1,2043,0.0
REGION1,NOHGFCPN2,NOE1,2044,0.0
REGION1,NOHGFCPN2,NOE1,2045,0.0
REGION1,NOHGFCPN2,NOE1,2046,0.0
REGION1,NOHGFCPN2,NOE1,2047,0.0
REGION1,NOHGFCPN2,NOE1,2048,0.0
REGION1,NOHGFCPN2,NOE1,2049,0.0
REGION1,NOHGFCPN2,NOE1,2050,0.0
REGION1,NOHGFCPN2,NOE1,2051,0.0
REGION1,NOHGFCPN2,NOE1,2052,0.0
REGION1,NOHGFCPN2,NOE1,2053,0.0
REGION1,NOHGFCPN2,NOE1,2054,0.0
REGION1,NOHGFCPN2,NOE1,2055,0.0
REGION1,NOHGFCPN2,NOE1,2056,0.0
REGION1,NOHGFCPN2,NOE1,2057,0.0
REGION1,NOHGFCPN2,NOE1,2058,0.0
REGION1,NOHGFCPN2,NOE1,2059,0.0
REGION1,NOHGFCPN2,NOE1,2060,0.0
REGION1,SEHGFCPN2,SEE1,2015,0.0
REGION1,SEHGFCPN2,SEE1,2016,0.0
REGION1,SEHGFCPN2,SEE1,2017,0.0
REGION1,SEHGFCPN2,SEE1,2018,0.0
REGION1,SEHGFCPN2,SEE1,2019,0.0
REGION1,SEHGFCPN2,SEE1,2020,0.0
REGION1,SEHGFCPN2,SEE1,2021,0.0
REGION1,SEHGFCPN2,SEE1,2022,0.0
REGION1,SEHGFCPN2,SEE1,2023,0.0
REGION1,SEHGFCPN2,SEE1,2024,0.0
REGION1,SEHGFCPN2,SEE1,2025,0.0
REGION1,SEHGFCPN2,SEE1,2026,0.0
REGION1,SEHGFCPN2,SEE1,2027,0.0
REGION1,SEHGFCPN2,SEE1,2028,0.0
REGION1,SEHGFCPN2,SEE1,2029,0.0
REGION1,SEHGFCPN2,SEE1,2030,0.0
REGION1,SEHGFCPN2,SEE1,2031,0.0
REGION1,SEHGFCPN2,SEE1,2032,0.0
REGION1,SEHGFCPN2,SEE1,2033,0.0
REGION1,SEHGFCPN2,SEE1,2034,0.0
REGION1,SEHGFCPN2,SEE1,2035,0.0
REGION1,SEHGFCPN2,SEE1,2036,0.0
REGION1,SEHGFCPN2,SEE1,2037,0.0
REGION1,SEHGFCPN2,SEE1,2038,0.0
REGION1,SEHGFCPN2,SEE1,2039,0.0
REGION1,SEHGFCPN2,SEE1,2040,0.0
REGION1,SEHGFCPN2,SEE1,2041,0.0
REGION1,SEHGFCPN2,SEE1,2042,0.0
REGION1,SEHGFCPN2,SEE1,2043,0.0
REGION1,SEHGFCPN2,SEE1,2044,0.0
REGION1,SEHGFCPN2,SEE1,2045,0.0
REGION1,SEHGFCPN2,SEE1,2046,0.0
REGION1,SEHGFCPN2,SEE1,2047,0.0
REGION1,SEHGFCPN2,SEE1,2048,0.0
REGION1,SEHGFCPN2,SEE1,2049,0.0
REGION1,SEHGFCPN2,SEE1,2050,0.0
REGION1,SEHGFCPN2,SEE1,2051,0.0
REGION1,SEHGFCPN2,SEE1,2052,0.0
REGION1,SEHGFCPN2,SEE1,2053,0.0
REGION1,SEHGFCPN2,SEE1,2054,0.0
REGION1,SEHGFCPN2,SEE1,2055,0.0
REGION1,SEHGFCPN2,SEE1,2056,0.0
REGION1,SEHGFCPN2,SEE1,2057,0.0
REGION1,SEHGFCPN2,SEE1,2058,0.0
REGION1,SEHGFCPN2,SEE1,2059,0.0
REGION1,SEHGFCPN2,SEE1,2060,0.0
